>>> including systematics
>>> method used to compute upper limit is MaxLikelihoodFit
>>> random number generator seed is 123456
[?1034hComputing limit starting from observation
Created Branches
Searching for crossing at nll = -20431 in the interval 19.9999, 20
      r      lvl-here  lvl-there   stepping
20.000000    +0.49448  +0.49448    0.000000
Error: closed range without finding crossing.
Searching for crossing at nll = -20431 in the interval 19.9999, -20
      r      lvl-here  lvl-there   stepping
19.799857    +0.49030  +0.49447    -0.199999
19.599857    +0.48603  +0.49030    -0.199999
19.399858    +0.48166  +0.48603    -0.199999
19.199859    +0.47720  +0.48166    -0.199999
18.999860    +0.47265  +0.47720    -0.199999
18.799860    +0.46800  +0.47265    -0.199999
18.599861    +0.46335  +0.46800    -0.199999
18.399862    +0.45895  +0.46335    -0.199999
18.199862    +0.45460  +0.45895    -0.199999
17.999863    +0.45001  +0.45460    -0.199999
17.799864    +0.44532  +0.45001    -0.199999
17.599865    +0.44053  +0.44532    -0.199999
17.399865    +0.43565  +0.44053    -0.199999
17.199866    +0.43068  +0.43565    -0.199999
16.999867    +0.42561  +0.43068    -0.199999
16.799868    +0.42044  +0.42561    -0.199999
16.599868    +0.41517  +0.42044    -0.199999
16.399869    +0.40981  +0.41517    -0.199999
16.199870    +0.40436  +0.40981    -0.199999
15.999870    +0.39881  +0.40436    -0.199999
15.799871    +0.39316  +0.39881    -0.199999
15.599872    +0.38741  +0.39316    -0.199999
15.399873    +0.38225  +0.38741    -0.199999
15.199873    +0.37681  +0.38225    -0.199999
14.999874    +0.37127  +0.37681    -0.199999
14.799875    +0.36564  +0.37127    -0.199999
14.599876    +0.35991  +0.36564    -0.199999
14.399876    +0.35408  +0.35991    -0.199999
14.199877    +0.34816  +0.35408    -0.199999
13.999878    +0.34214  +0.34816    -0.199999
13.799878    +0.33602  +0.34214    -0.199999
13.599879    +0.33033  +0.33602    -0.199999
13.399880    +0.32438  +0.33033    -0.199999
13.199881    +0.31834  +0.32438    -0.199999
12.999881    +0.31219  +0.31834    -0.199999
12.799882    +0.30595  +0.31219    -0.199999
12.599883    +0.29961  +0.30595    -0.199999
12.399884    +0.29317  +0.29961    -0.199999
12.199884    +0.28663  +0.29317    -0.199999
11.999885    +0.28000  +0.28663    -0.199999
11.799886    +0.27326  +0.28000    -0.199999
11.599886    +0.26643  +0.27326    -0.199999
11.399887    +0.25950  +0.26643    -0.199999
11.199888    +0.25246  +0.25950    -0.199999
10.999889    +0.24636  +0.25246    -0.199999
10.799889    +0.23964  +0.24636    -0.199999
10.599890    +0.23283  +0.23964    -0.199999
10.399891    +0.22592  +0.23283    -0.199999
10.199891    +0.21890  +0.22592    -0.199999
9.999892    +0.21179  +0.21890    -0.199999
9.799893    +0.20458  +0.21179    -0.199999
9.599894    +0.19729  +0.20458    -0.199999
9.399894    +0.19025  +0.19729    -0.199999
9.199895    +0.18312  +0.19025    -0.199999
8.999896    +0.17588  +0.18312    -0.199999
8.799897    +0.16855  +0.17588    -0.199999
8.599897    +0.16112  +0.16855    -0.199999
8.399898    +0.15380  +0.16112    -0.199999
8.199899    +0.14660  +0.15380    -0.199999
7.999899    +0.13929  +0.14660    -0.199999
7.799900    +0.13189  +0.13929    -0.199999
7.599901    +0.12438  +0.13189    -0.199999
7.399902    +0.11677  +0.12438    -0.199999
7.199902    +0.10907  +0.11677    -0.199999
6.999903    +0.10126  +0.10907    -0.199999
6.799904    +0.09335  +0.10126    -0.199999
6.599905    +0.08533  +0.09335    -0.199999
6.399905    +0.07722  +0.08533    -0.199999
6.199906    +0.06900  +0.07722    -0.199999
5.999907    +0.06069  +0.06900    -0.199999
5.799907    +0.05342  +0.06069    -0.199999
5.599908    +0.04573  +0.05342    -0.199999
5.399909    +0.03832  +0.04573    -0.199999
5.199910    +0.03081  +0.03832    -0.199999
4.999910    +0.02320  +0.03081    -0.199999
4.799911    +0.01549  +0.02320    -0.199999
4.599912    +0.00768  +0.01549    -0.199999
4.399912    -0.00024  +0.00768    -0.199999

 --- MaxLikelihoodFit ---
Best fit r: 19.9999  -15.6002/+0.000144033  (68% CL)
nll S+B -> -62.7492  nll B -> -62.3372
Done in 4.33 min (cpu), 4.34 min (real)
>>> including systematics
>>> method used to compute upper limit is MaxLikelihoodFit
>>> random number generator seed is 123456
[?1034hComputing limit starting from expected outcome
Created Branches
Searching for crossing at nll = -24917.2 in the interval 0.0471861, 20
      r      lvl-here  lvl-there   stepping
0.146950    +0.49446  +0.49447    0.099764
0.246714    +0.49443  +0.49446    0.099764
0.346478    +0.49437  +0.49443    0.099764
0.446242    +0.49428  +0.49437    0.099764
0.546006    +0.49418  +0.49428    0.099764
0.645770    +0.49405  +0.49418    0.099764
0.745535    +0.49389  +0.49405    0.099764
0.845299    +0.49371  +0.49389    0.099764
0.945063    +0.49351  +0.49371    0.099764
1.044827    +0.49329  +0.49351    0.099764
1.144591    +0.49304  +0.49329    0.099764
1.244355    +0.49277  +0.49304    0.099764
1.344119    +0.49247  +0.49277    0.099764
1.443883    +0.49216  +0.49247    0.099764
1.543647    +0.49189  +0.49216    0.099764
1.643411    +0.49159  +0.49189    0.099764
1.743175    +0.49126  +0.49159    0.099764
1.842939    +0.49092  +0.49126    0.099764
1.942703    +0.49055  +0.49092    0.099764
2.042467    +0.49016  +0.49055    0.099764
2.142231    +0.48974  +0.49016    0.099764
2.241996    +0.48930  +0.48974    0.099764
2.341760    +0.48884  +0.48930    0.099764
2.441524    +0.48836  +0.48884    0.099764
2.541288    +0.48785  +0.48836    0.099764
2.641052    +0.48732  +0.48785    0.099764
2.740816    +0.48677  +0.48732    0.099764
2.840580    +0.48619  +0.48677    0.099764
2.940344    +0.48559  +0.48619    0.099764
3.040108    +0.48497  +0.48559    0.099764
3.139872    +0.48432  +0.48497    0.099764
3.239636    +0.48366  +0.48432    0.099764
3.339400    +0.48301  +0.48366    0.099764
3.439164    +0.48248  +0.48301    0.099764
3.538928    +0.48194  +0.48248    0.099764
3.638693    +0.48137  +0.48194    0.099764
3.738457    +0.48077  +0.48137    0.099764
3.838221    +0.48016  +0.48077    0.099764
3.937985    +0.47952  +0.48016    0.099764
4.037749    +0.47886  +0.47952    0.099764
4.137513    +0.47818  +0.47886    0.099764
4.237277    +0.47747  +0.47818    0.099764
4.337041    +0.47675  +0.47747    0.099764
4.436805    +0.47599  +0.47675    0.099764
4.536569    +0.47522  +0.47599    0.099764
4.636333    +0.47443  +0.47522    0.099764
4.736097    +0.47361  +0.47443    0.099764
4.835861    +0.47277  +0.47361    0.099764
4.935625    +0.47191  +0.47277    0.099764
5.035389    +0.47102  +0.47191    0.099764
5.135154    +0.47011  +0.47102    0.099764
5.234918    +0.46918  +0.47011    0.099764
5.334682    +0.46823  +0.46918    0.099764
5.434446    +0.46726  +0.46823    0.099764
5.534210    +0.46626  +0.46726    0.099764
5.633974    +0.46524  +0.46626    0.099764
5.733738    +0.46420  +0.46524    0.099764
5.833502    +0.46314  +0.46420    0.099764
5.933266    +0.46205  +0.46314    0.099764
6.033030    +0.46095  +0.46205    0.099764
6.132794    +0.45982  +0.46095    0.099764
6.232558    +0.45866  +0.45982    0.099764
6.332322    +0.45750  +0.45866    0.099764
6.432086    +0.45655  +0.45750    0.099764
6.531850    +0.45558  +0.45655    0.099764
6.631615    +0.45459  +0.45558    0.099764
6.731379    +0.45358  +0.45459    0.099764
6.831143    +0.45255  +0.45358    0.099764
6.930907    +0.45149  +0.45255    0.099764
7.030671    +0.45041  +0.45149    0.099764
7.130435    +0.44931  +0.45041    0.099764
7.230199    +0.44819  +0.44931    0.099764
7.329963    +0.44705  +0.44819    0.099764
7.429727    +0.44588  +0.44705    0.099764
7.529491    +0.44470  +0.44588    0.099764
7.629255    +0.44349  +0.44470    0.099764
7.729019    +0.44226  +0.44349    0.099764
7.828783    +0.44100  +0.44226    0.099764
7.928547    +0.43973  +0.44100    0.099764
8.028311    +0.43843  +0.43973    0.099764
8.128076    +0.43711  +0.43843    0.099764
8.227840    +0.43578  +0.43711    0.099764
8.327604    +0.43441  +0.43578    0.099764
8.427368    +0.43303  +0.43441    0.099764
8.527132    +0.43163  +0.43303    0.099764
8.626896    +0.43020  +0.43163    0.099764
8.726660    +0.42875  +0.43020    0.099764
8.826424    +0.42728  +0.42875    0.099764
8.926188    +0.42579  +0.42728    0.099764
9.025952    +0.42428  +0.42579    0.099764
9.125716    +0.42275  +0.42428    0.099764
9.225480    +0.42119  +0.42275    0.099764
9.325244    +0.41962  +0.42119    0.099764
9.425008    +0.41802  +0.41962    0.099764
9.524772    +0.41640  +0.41802    0.099764
9.624537    +0.41476  +0.41640    0.099764
9.724301    +0.41310  +0.41476    0.099764
9.824065    +0.41141  +0.41310    0.099764
