>>> including systematics
>>> method used to compute upper limit is MaxLikelihoodFit
>>> random number generator seed is 123456
[?1034hComputing limit starting from observation
Created Branches
Searching for crossing at nll = -20622.5 in the interval 9.80906, 20
      r      lvl-here  lvl-there   stepping
8.765743    +0.48900  +0.49026    -0.149045
8.616698    +0.48744  +0.48900    -0.149045
8.467653    +0.48559  +0.48744    -0.149045
8.318607    +0.48345  +0.48559    -0.149045
8.169562    +0.48101  +0.48345    -0.149045
8.020517    +0.47835  +0.48101    -0.149045
7.871471    +0.47588  +0.47835    -0.149045
7.722426    +0.47312  +0.47588    -0.149045
7.573381    +0.47011  +0.47312    -0.149045
7.424336    +0.46753  +0.47011    -0.149045
7.275290    +0.46466  +0.46753    -0.149045
7.126245    +0.46148  +0.46466    -0.149045
6.977200    +0.45801  +0.46148    -0.149045
6.828154    +0.45422  +0.45801    -0.149045
6.679109    +0.45014  +0.45422    -0.149045
6.530064    +0.44574  +0.45014    -0.149045
6.381018    +0.44145  +0.44574    -0.149045
6.231973    +0.43760  +0.44145    -0.149045
6.082928    +0.43344  +0.43760    -0.149045
5.933883    +0.42897  +0.43344    -0.149045
5.784837    +0.42418  +0.42897    -0.149045
5.635792    +0.41988  +0.42418    -0.149045
5.486747    +0.41511  +0.41988    -0.149045
5.337701    +0.41003  +0.41511    -0.149045
5.188656    +0.40475  +0.41003    -0.149045
5.039611    +0.39950  +0.40475    -0.149045
4.890565    +0.39393  +0.39950    -0.149045
4.741520    +0.38804  +0.39393    -0.149045
4.592475    +0.38184  +0.38804    -0.149045
4.443430    +0.37533  +0.38184    -0.149045
4.294384    +0.36850  +0.37533    -0.149045
4.145339    +0.36249  +0.36850    -0.149045
3.996294    +0.35613  +0.36249    -0.149045
3.847248    +0.34966  +0.35613    -0.149045
3.698203    +0.34290  +0.34966    -0.149045
3.549158    +0.33582  +0.34290    -0.149045
3.400112    +0.32843  +0.33582    -0.149045
3.251067    +0.32071  +0.32843    -0.149045
3.102022    +0.31266  +0.32071    -0.149045
2.952977    +0.30480  +0.31266    -0.149045
2.803931    +0.29737  +0.30480    -0.149045
2.654886    +0.28962  +0.29737    -0.149045
2.505841    +0.28154  +0.28962    -0.149045
2.356795    +0.27314  +0.28154    -0.149045
2.207750    +0.26442  +0.27314    -0.149045
2.058705    +0.25536  +0.26442    -0.149045
1.909659    +0.24625  +0.25536    -0.149045
1.760614    +0.23731  +0.24625    -0.149045
1.611569    +0.22805  +0.23731    -0.149045
1.462524    +0.21846  +0.22805    -0.149045
1.313478    +0.20854  +0.21846    -0.149045
1.164433    +0.19932  +0.20854    -0.149045
1.015388    +0.18963  +0.19932    -0.149045
0.866342    +0.17961  +0.18963    -0.149045
0.717297    +0.16989  +0.17961    -0.149045
0.568252    +0.15966  +0.16989    -0.149045
0.419207    +0.14911  +0.15966    -0.149045
